FID,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,geometry,CITY_NAME,POP_updated,POP_updated_year,capital,index__water,Name1__waterbody,Name2__waterbody,Name3__waterbody,TYPE__waterbody,ISO_CC__waterbody,SHAPE_Length__waterbody,SHAPE_Area__waterbody,distance_water,index__sea,Name1__sea,Name2__sea,Name3__sea,TYPE__sea,ISO_CC__sea,SHAPE_Length__sea,SHAPE_Area__sea,distance_sea,POP_rank_updated,city_type
969,AUT-OBR,Oberosterreich,AU,Austria,Provincial capital,205726,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1591200.622707358 6156574.706849028),Linz,211944,2024,0,2205123,Danube,,,Inland perennial,AT,65.09661816705383,0.1654558790808565,1.8386408510766654,2696417,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.267361084994571,0.011897155462662562,417.3900934914029,5,inland
970,AUT-BRG,Burgenland,AU,Austria,Provincial capital,14637,7,"Less than 50,000",UN_Data_2010_2020,POINT (1840478.235251259 6079166.397316603),Eisenstadt,16037,2024,0,40345,,,,Inland perennial,AT,0.04296104803608985,6.609766595276273e-05,17.17777751185818,2436472,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.3485397391648506,0.02042914355435439,465.5275762640419,7,inland
971,AUT-WIE,Wien,AU,Austria,National capital and provincial capital enclave,1897491,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (1816843.009624857 6140546.352434938),Vienna,2005760,2024,1,2205123,Danube,,,Inland perennial,AT,65.09661816705383,0.1654558790808565,9.859518687623096,2696417,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.267361084994571,0.011897155462662562,497.26234959508105,2,inland
972,CZE-ZPD,Zapadocesky,EZ,Czech Republic,Provincial capital,170936,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1489899.985249883 6402402.649273169),Plzen,174007,2021,0,1227808,,,,Inland perennial,CZ,0.03427916895421965,5.01027232224332e-05,4.592025254014179,2439711,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.5327154696620724,0.011220954496543062,652.8612393907987,5,inland
973,DEU-BYR,Bayern,GM,Germany,Other,1456039,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (1284955.359376854 6130339.842726906),Munich,1478638,2022,0,1228207,,,,Inland perennial,DE,0.0161272579201881,1.747750230822766e-05,10.213915253630304,2439711,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.5327154696620724,0.011220954496543062,424.14919488921856,2,inland
974,AUT-SLZ,Salzburg,AU,Austria,Provincial capital,154211,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1452941.810886212 6074972.109858153),Salzburg,157399,2024,0,40330,,,,Inland perennial,AT,0.01639524461526326,1.1685253259364834e-05,3.6991524329922267,2439711,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.5327154696620724,0.011220954496543062,325.7642313216903,5,inland
975,AUT-TIR,Tirol,AU,Austria,Provincial capital,132110,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1263476.155898865 5985437.079730574),Innsbruck,132188,2024,0,40298,,,,Inland perennial,AT,0.037803546224614945,7.423625715164638e-05,37.494229441023926,2439721,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,0.5537503610290727,0.004304367759987696,302.1978823736003,5,inland
976,ITA-FVG,Friuli-Venezia Giulia,IT,Italy,Provincial capital,204303,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1533648.879623722 5723642.059757226),Trieste,199400,2024,0,2709856,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,0.5772558113646544,0.004790299946985719,1.4479601224465042,2709856,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,0.5772558113646544,0.004790299946985719,1.4479601224465042,5,coast
977,ITA-VEN,Veneto,IT,Italy,Other,260921,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (1377101.846369305 5688643.03911508),Venice,250369,2024,0,2696418,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,5.636648340192619,0.05607220671027914,0.0,2696418,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,5.636648340192619,0.05607220671027914,0.0,4,coast
978,HRV,Croatia,HR,Croatia,Other,128624,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1606707.649623842 5674145.77962227),Rijeka,107964,2021,0,2436472,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.3485397391648506,0.02042914355435439,0.8214591724923155,2436472,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.3485397391648506,0.02042914355435439,0.8214591724923155,5,coast
979,HUN-VAS,Vas,HU,Hungary,Provincial capital,0,0, , ,POINT (1850352.723846357 5980680.055569571),Szombathely,78190,2022,0,1272423,,,,Inland perennial,HU,0.028678936603304537,4.619230907684046e-05,8.663075527036606,2436472,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.3485397391648506,0.02042914355435439,387.5303389968202,6,inland
980,AUT-STR,Steiermark,AU,Austria,Provincial capital,288806,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (1717771.546317294 5952689.521070522),Graz,302749,2024,0,40276,,,,Inland perennial,AT,0.08331664049314028,0.0001259912562856356,11.416101643544357,2696417,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.267361084994571,0.011897155462662562,289.6507070250002,4,inland
981,HUN-ZAL,Zala,HU,Hungary,Provincial capital,0,0, , ,POINT (1874620.158875803 5916648.123088908),Zalaegerszeg,54428,2022,0,1272327,,,,Inland perennial,HU,0.03680949575918571,2.0623115003840414e-05,3.766094948494551,2436472,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.3485397391648506,0.02042914355435439,354.8050257352757,6,inland
982,AUT-KRN,Karnten,AU,Austria,Provincial capital,100817,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1592313.708425442 5879943.665270011),Klagenfurt,104866,2024,0,2252040,Wörther See,,,Inland perennial,AT,0.5260598557370356,0.0021965170235984668,5.533477252121078,2696417,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,1.267361084994571,0.011897155462662562,155.58756867781176,5,inland
983,SVN,Slovenia,SI,Slovenia,National capital,283055,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (1629673.638518321 5791301.093993144),Ljubljana,20446,2019,1,2241926,Sava,,,Inland perennial,SI,0.05958557444131329,4.688289355250206e-05,27.69310915417767,2709856,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,0.5772558113646544,0.004790299946985719,116.52076123406043,7,inland
984,HRV,Croatia,HR,Croatia,National capital,790017,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (1777104.617086875 5749475.079366432),Zagreb,663592,2021,1,2211870,Jezero Jarun,,,Inland perennial,HR,0.08538998833379191,8.908732005563741e-05,5.220059750953972,2646074,Adriatic Sea,Mediterranean Sea,Atlantic Ocean,Ocean or Sea,,0.503363744136829,0.011809442208411312,166.09189641258007,3,inland
985,DEU-BER,Berlin,GM,Germany,National and provincial capital,3613495,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (1483618.2344287 6894017.246600147),Berlin,3596999,2022,1,1229815,,,,Inland perennial,DE,0.025580430240698337,2.736596122023143e-05,10.091217411963507,2709640,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.6032217451483857,0.010403339568297164,280.7933499637283,2,inland
986,DEU-BRN,Brandenburg,GM,Germany,Provincial capital,175710,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1438248.298333437 6871864.613869327),Potsdam,182806,2022,0,2209240,Grosser Zern-See,,,Inland perennial,DE,0.30979567373429895,0.0006905203024510083,0.9066690231815507,2709640,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.6032217451483857,0.010403339568297164,319.6227211965339,5,inland
987,DEU-SCA,Sachsen-Anhalt,GM,Germany,Provincial capital,238478,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1292308.121080718 6823664.969444123),Magdeburg,241517,2022,0,2206535,Elbe,,,Inland perennial,CZ,10.343488196131625,0.009864587111580298,3.2663186930419266,2445072,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.6742225581191396,0.0075393256235520715,328.0236161582542,5,inland
988,DEU-SCH,Sachsen,GM,Germany,Other,581980,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (1380147.556018197 6683320.152292592),Leipzig,598899,2022,0,1229033,,,,Inland perennial,DE,0.1113462306718628,0.0005491171807725249,13.236212137110456,2445072,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.6742225581191396,0.0075393256235520715,479.6076693767958,3,inland
989,DEU-SCH,Sachsen,GM,Germany,Provincial capital,551072,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (1525633.881379462 6629434.990218074),Dresden,557782,2022,0,2206535,Elbe,,,Inland perennial,CZ,10.343488196131625,0.009864587111580298,3.3104728653244266,2709640,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.6032217451483857,0.010403339568297164,528.5153114997737,3,inland
990,DEU-MKV,Mecklenburg-Vorpommern,GM,Germany,Provincial capital,0,0, , ,POINT (1270901.056418617 7101012.083270314),Schwerin,96447,2022,0,1230379,,,,Inland perennial,DE,0.015027574490509277,9.88982471644596e-06,0.3866070588030552,2445072,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.6742225581191396,0.0075393256235520715,50.35950339450779,6,inland
991,DNK-FRD,Frederiksborg,DA,Denmark,Provincial capital,0,0, , ,POINT (1371088.589736447 7545148.809371458),Hillerod,36227,2024,0,1230743,,,,Inland perennial,DK,0.022568081318594425,1.845081516351829e-05,1.0724511999226756,2624338,Kattegat,Atlantic Ocean,,Ocean or Sea,,0.7360710296515082,0.016801782539142843,22.459764676304545,7,inland
992,DNK-RSK,Roskilde,DA,Denmark,Provincial capital,0,0, , ,POINT (1348824.922689623 7489053.160451323),Roskilde,52974,2024,0,2445193,Kattegat,Atlantic Ocean,,Ocean or Sea,,0.7783609358414819,0.006100235549634481,3.5224266495872696,2445193,Kattegat,Atlantic Ocean,,Ocean or Sea,,0.7783609358414819,0.006100235549634481,3.5224266495872696,6,coast
993,SWE-MLM,Malmohus,SW,Sweden,Provincial capital,0,0, , ,POINT (1449713.764669497 7478406.884572601),Malmo,470411,2021,0,2804351,Kattegat,Atlantic Ocean,,Ocean or Sea,,1.841120594695363,0.051842710155104776,3.863103795163916,2804351,Kattegat,Atlantic Ocean,,Ocean or Sea,,1.841120594695363,0.051842710155104776,3.863103795163916,4,coast
994,DNK-VST,Vestsjalland,DA,Denmark,Provincial capital,0,0, , ,POINT (1287599.313296526 7446359.793385851),Soro,8400,2024,0,1230704,,,,Inland perennial,DK,0.10487828416003213,0.00023924497516548257,1.0924433567944432,2341193,Kattegat,Atlantic Ocean,,Ocean or Sea,,1.1771526570419917,0.04851920558764499,39.71973859981604,7,inland
995,DNK-STR,Storstrom,DA,Denmark,Provincial capital,0,0, , ,POINT (1321584.930012804 7317934.295154532),Nykobing,16636,2024,0,2445059,Kattegat,Atlantic Ocean,,Ocean or Sea,,0.5629438986738419,0.002183635827729815,1.1686782206729063,2445059,Kattegat,Atlantic Ocean,,Ocean or Sea,,0.5629438986738419,0.002183635827729815,1.1686782206729063,7,coast
996,DNK-SKB,Staden Kobenhavn,DA,Denmark,National capital and provincial capital enclave,616098,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (1397059.208208475 7502876.104936124),Copenhagen,1378649,2024,1,2624336,Kattegat,Atlantic Ocean,,Ocean or Sea,,0.6380627576947142,0.013923020714863732,3.624332651491295,2624336,Kattegat,Atlantic Ocean,,Ocean or Sea,,0.6380627576947142,0.013923020714863732,3.624332651491295,2,coast
997,DNK-BRN,Bornholm,DA,Denmark,Provincial capital,0,0, , ,POINT (1638255.707541255 7384548.609730746),Ronne,13759,2024,0,2637220,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,1.1188526725154027,0.05384250306565938,1.673112930964407,2637220,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,1.1188526725154027,0.05384250306565938,1.673112930964407,7,coast
998,SWE-BLK,Blekinge,SW,Sweden,Provincial capital,0,0, , ,POINT (1702743.424609344 7598934.225131497),Karlskrona,14867,2021,0,2011840,,,,Inland perennial,SE,0.028872765689550158,2.6962171853832767e-05,2.9863339195684073,2446082,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,2.424074074525739,0.026693547207041368,5.26114092569485,7,inland
999,SWE-KRS,Kristianstads,SW,Sweden,Provincial capital,0,0, , ,POINT (1576951.953904805 7564190.10931757),Kristianstad,1187771,2021,0,2209617,Hammarsjön,,,Inland perennial,SE,0.4715457196830996,0.0031552889059011636,2.3802123818931804,2676113,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.47511179999830633,0.00647830549427834,23.706983503088377,2,coast
1000,POL-KSZ,Koszalin,PL,Poland,Provincial capital,106118,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1801705.666507448 7205462.036672631),Koszalin,105540,2023,0,2224674,Lubiatowskie Jezioro,,,Inland perennial,PL,0.08052078763505337,0.00020110204265251885,8.773135863266203,2445077,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.8107959468043362,0.020313271725200158,19.022398359470323,5,inland
1001,POL-SZC,Szczecin,PL,Poland,Provincial capital,400947,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (1617584.012999487 7064431.357419735),Szczecin,389066,2023,0,2258980,Odra,Oder,,Inland perennial,PL,1.4283879534128439,0.0016005847984551693,4.352642253042137,2709640,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.6032217451483857,0.010403339568297164,90.79643727315752,4,inland
1002,POL-PIL,Pila,PL,Poland,Provincial capital,0,0, , ,POINT (1864045.356382689 7009864.149654401),Pila,70054,2023,0,1345390,,,,Inland perennial,PL,0.05665490835361044,0.00010028488855913751,5.723942967808708,2445077,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.8107959468043362,0.020313271725200158,223.8284896657817,6,inland
1003,RUS-TAY,Taymyrskiy(Dolgano-Nenetskiy) avt.okrug,RS,Russia,Provincial capital,0,0, , ,POINT (9597632.91679886 10892021.8652901),Dudinka,19556,2021,0,1648451,,,,Inland perennial,RU,0.02818050365961863,2.0394007381624014e-05,0.5992297413389884,2643579,Kara Sea,Arctic Ocean,,Ocean or Sea,,4.787201801961349,0.7939327846427813,868.1088775887446,7,inland
1004,RUS-TOM,Tomskaya oblast',RS,Russia,Provincial capital,565000,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (9458928.266463432 7654165.828898067),Tomsk,556478,2021,0,2247311,Tom,,,Inland perennial,RU,22.045873615844513,0.037326099469445415,3.3718135474257234,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,2681.6979617593875,3,inland
1005,RUS-KHM,Khanty-Mansiyskiy avtonomnyy okrug,RS,Russia,Provincial capital,0,0, , ,POINT (7681045.245819273 8629728.381773323),Khanty-Mansiysk,617441,2021,0,1394907,,,,Inland perennial,RU,0.013085906877502915,8.311817290046242e-06,0.515242625083711,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,1341.82234131304,3,inland
1006,RUS-KRA,Krasnoyarskiy kray,RS,Russia,Other,0,0, , ,POINT (9640188.573261557 10298207.62710585),Igarka,98791,2004,0,1568178,,,,Inland perennial,RU,0.02366529032506153,1.3198867036503986e-05,8.515492389404923,2406237,Kara Sea,Arctic Ocean,,Ocean or Sea,,2.6698958035423117,0.08497210913419169,886.9538263441789,6,inland
1007,KAZ-NKZ,North Kazakhstan,KZ,Kazakhstan,Provincial capital,219094,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (7705167.390031324 7339249.119907347),Petropavlovsk,222076,2023,0,1302158,,,,Inland perennial,KZ,0.0545497117726422,7.459559756124765e-05,5.791230057512302,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,2612.6137865195783,5,inland
1008,RUS-OMS,Omskaya oblast',RS,Russia,Provincial capital,1158627,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (8154152.858850193 7374102.557698932),Omsk,1849659,2008,0,2211495,Irtysh,,,Inland perennial,KZ,89.51455024260015,0.15222416802169803,7.96481638501876,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,2558.993630425645,2,inland
1009,KAZ-KKC,Kokchetav,KZ,Kazakhstan,Provincial capital,145633,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (7725906.212725575 7033841.630215214),Kokshetau,174614,2023,0,1300951,,,,Inland perennial,KZ,0.1694332262226841,0.0017131862818377756,4.602130707953627,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,2913.9041530904324,5,inland
1010,KAZ-PVL,Pavlodar,KZ,Kazakhstan,Provincial capital,333734,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (8567481.562597217 6851275.982073591),Pavlodar,334096,2023,0,2211495,Irtysh,,,Inland perennial,KZ,89.51455024260015,0.15222416802169803,2.9972175285510416,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,3123.9463111090895,4,inland
1011,KAZ-TSL,Tselinograd,KZ,Kazakhstan,National and provincial capital,1107270,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (7951774.024231912 6654794.494687579),Astana,1354507,2023,1,1299162,,,,Inland perennial,KZ,0.03159304758274757,3.7295342356509164e-05,10.56257904031295,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,3277.0446117846104,2,inland
1012,KAZ-KRG,Karaganda,KZ,Kazakhstan,Other,497745,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (8148879.983001051 6425382.679309248),Karaganda,515632,2023,0,1297905,,,,Inland perennial,KZ,0.07584860918357439,0.0001089046959648146,3.43755751225716,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,3506.8761393888494,3,inland
1013,KAZ-DZK,Dzhezkazgan,KZ,Kazakhstan,Provincial capital,0,0, , ,POINT (7537442.432518752 6070498.067613744),Zhezkazgan,89092,2023,0,2213898,Kengirskoye Vodokhranilishche,,,Inland perennial,KZ,0.8541729443135941,0.0026458437579028114,2.7932330506610854,2380670,Arabian Sea,Indian Ocean,,Ocean or Sea,,0.7022470098570962,0.009304339261248623,3124.910657198117,6,inland
1014,KAZ-TKG,Taldy Kurgan,KZ,Kazakhstan,Provincial capital,145547,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (8724999.430309175 5623567.682649303),Taldykorgan,168686,2023,0,1293662,,,,Inland perennial,KZ,0.02908767847784817,2.5521233494592596e-05,14.205442204033607,2380670,Arabian Sea,Indian Ocean,,Ocean or Sea,,0.7022470098570962,0.009304339261248623,2990.3206695932518,5,inland
1015,KAZ-VKZ,East Kazakhstan,KZ,Kazakhstan,Provincial capital,332364,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (9194990.208060939 6446276.53399517),Ust'-Kamenogorsk (Oskemen),352894,2023,0,1298078,,,,Inland perennial,KZ,0.016891677460690722,1.6037307600757375e-05,1.8313919620677712,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,3670.325915063175,4,inland
1016,USA-WVR,West Virginia,US,United States,Provincial capital,46536,7,"Less than 50,000",US_Census_2019,POINT (-9089681.999156265 4629697.927283095),Charleston,155369,2023,0,2061259,,,,Inland perennial,US,43.405903186160536,0.08111060246764273,0.22659749623643907,2478967,Chesapeake Bay,Atlantic Ocean,,Ocean or Sea,,0.1429387619037645,0.00033969967764072413,476.50292274030636,5,inland
1017,RUS-KEM,Kemerovskaya oblast',RS,Russia,Provincial capital,538188,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (9579487.94139017 7436948.358547965),Kemerovo,26310,2014,0,2247311,Tom,,,Inland perennial,RU,22.045873615844513,0.037326099469445415,1.5131280442228878,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,2929.8422605270734,7,inland
1018,RUS-NOV,Novosibirskaya oblast',RS,Russia,Provincial capital,1511369,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (9233172.679080265 7368079.716645286),Novosibirsk,537480,2021,0,2230160,Ob River,,,Inland perennial,RU,166.01987563414792,0.641611022904764,4.432510763722894,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,2826.096067421868,3,inland
1019,POL-ZGO,Zielona Gora,PL,Poland,Provincial capital,140219,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (1724561.25314184 6789644.544037732),Zielona Gora,138932,2023,0,2230221,Odra,Oder,,Inland perennial,PL,6.848172976100672,0.004753228544830097,17.25308699756294,2709640,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.6032217451483857,0.010403339568297164,384.507461988849,5,inland
1020,USA-NCR,North Carolina,US,United States,Other,885708,3,"500,000 to 999,999",US_Census_2019,POINT (-8998586.480392842 4191886.825083931),Charlotte,911311,2023,0,2053667,,,,Inland perennial,US,0.025644571480719452,2.7198007182517086e-05,11.906703216579414,2479768,Atlantic Ocean,,,Ocean or Sea,,0.7401526484519055,0.027746091581330852,298.7178281685026,3,inland
1021,RUS-KEM,Kemerovskaya oblast',RS,Russia,Other,549383,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (9703720.506283879 7113543.942145247),Novokuznetsk,1226076,2021,0,1360635,,,,Inland perennial,RU,0.016152342004844354,1.2896828948796937e-05,4.410358157898898,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,3270.944351181371,2,inland
1022,POL-LSZ,Leszno,PL,Poland,Provincial capital,0,0, , ,POINT (1844119.053288053 6771966.938238474),Leszno,60051,2023,0,1344558,,,,Inland perennial,PL,0.06637391500443393,9.411976443602878e-05,14.269424250603015,2445134,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.9453562586790913,0.041790122820538296,446.20244291863975,6,inland
1023,USA-SCR,South Carolina,US,United States,Provincial capital,131674,5,"100,000 to 249,999",US_Census_2019,POINT (-9016545.084912792 4030681.646561969),Columbia,142416,2023,0,2052017,,,,Inland perennial,US,0.03650335183134073,4.871028678621626e-05,3.581492095516141,2486481,Atlantic Ocean,,,Ocean or Sea,,0.012991079644145873,5.2195489292158965e-06,183.92707368176087,5,inland
1024,RUS-ALT,Altayskiy kray,RS,Russia,Provincial capital,686306,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (9323007.831780106 7048003.076071287),Barnaul,630877,2021,0,2230124,Ob River,,,Inland perennial,RU,23.46020789938587,0.05498730365895913,6.790480584562465,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,3154.6588496196327,3,inland
1025,POL-LGN,Legnica,PL,Poland,Provincial capital,98598,6,"50,000 to 99,999",UN_Data_2010_2020,POINT (1798700.042165849 6657992.149565995),Legnica,91948,2023,0,1344239,,,,Inland perennial,PL,0.019257709810009717,1.9285569745006296e-05,7.363125899157915,2709640,Baltic Sea,Atlantic Ocean,,Ocean or Sea,,0.6032217451483857,0.010403339568297164,533.6103703919746,6,inland
1026,USA-GEO,Georgia,US,United States,Provincial capital,465835,4,"250,000 to 499,999",US_Census_2019,POINT (-9389687.568079451 4001442.458174074),Atlanta,510823,2023,0,2051767,,,,Inland perennial,US,0.027204716690391633,2.2275675564150525e-05,6.847987758254712,2710740,Atlantic Ocean,,,Ocean or Sea,,0.08419107399498313,0.00020302244594758574,423.69423195376794,3,inland
1027,RUS-GAL,Respublika Altay,RS,Russia,Provincial capital,0,0, , ,POINT (9569802.807975983 6791812.865815234),Gorno-Altaysk,65342,2021,0,2213323,Katun,,,Inland perennial,RU,7.933524653654814,0.00876427429500791,13.149487773990597,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,3491.128622354898,6,inland
1028,KAZ-SMP,Semipalatinsk,KZ,Kazakhstan,Provincial capital,323591,4,"250,000 to 499,999",UN_Data_2010_2020,POINT (8931830.589378254 6518808.724853003),Semipalatinsk,308143,2023,0,2211495,Irtysh,,,Inland perennial,KZ,89.51455024260015,0.15222416802169803,1.2711544732142523,2643708,Kara Sea,Arctic Ocean,,Ocean or Sea,,8.209560962557743,0.47441530522035397,3526.076209539268,4,inland
1029,MNG-BOL,Bayan-Olgiy,MG,Mongolia,Provincial capital,0,0, , ,POINT (10015080.33060558 6268415.705637292),Olgiy,39711,2021,0,1309724,,,,Inland perennial,MN,0.034581715156417746,7.700978259378823e-05,29.021458760903137,2802933,Bohai Sea,Yellow Sea,Pacific Ocean,Ocean or Sea,,0.2674260675753537,0.0018147673685289393,3450.24363658263,7,inland
1030,IND-JAK,Jammu & Kashmir,IN,India,Provincial capital,1206419,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (8327143.673598808 4039683.81831893),Srinagar,1264202,2011,0,2228200,Nagin Lake,,,Inland perennial,IN,0.06645840282046901,7.804169974035386e-05,4.761892873211166,2380671,Arabian Sea,Indian Ocean,,Ocean or Sea,,0.30899464866991566,0.0021186580003553063,1434.5608766011483,2,inland
1031,IND-PNJ,Punjab,IN,India,Other,1159227,2,"1,000,000 to 4,999,999",UN_Data_2010_2020,POINT (8334663.758301822 3714955.728925185),Amritsar,1183549,2011,0,1343584,,,,Inland perennial,PK,4.783593068458306,0.004665922642912295,39.77257161054995,2439560,Gulf of Khambhat,Arabian Sea,Indian Ocean,Ocean or Sea,,0.2355985063407156,0.0011699078512915958,1189.8543590918844,2,inland
1032,PAK-PNJ,Punjab,PK,Pakistan,Provincial capital,11126285,1,"5,000,000 and greater",UN_Data_2010_2020,POINT (8275602.202855861 3703731.891948208),Lahore,13004135,2023,0,1343584,,,,Inland perennial,PK,4.783593068458306,0.004665922642912295,8.59861532276243,2803616,Arabian Sea,Indian Ocean,,Ocean or Sea,,5.356446532450532,0.019449976992336592,1151.2934115002597,1,inland
1033,IND-HPR,Himachal Pradesh,IN,India,Provincial capital,169578,5,"100,000 to 249,999",UN_Data_2010_2020,POINT (8590079.875642315 3646262.905122638),Simla,171640,2011,0,2195652, ,,,Inland perennial,IN,0.11431180034025086,0.00014278751720968932,50.39239016724598,2439573,Gulf of Khambhat,Arabian Sea,Indian Ocean,Ocean or Sea,,1.0039924338848762,0.021175427848331548,1210.2304246744511,5,inland
1034,IND-CHN,Chandigarh,IN,India,Provincial capital enclave,970602,3,"500,000 to 999,999",UN_Data_2010_2020,POINT (8547556.272688201 3598769.609258994),Chandigarh,1026459,2011,0,1285621,,,,Inland perennial,IN,0.04652332991859061,0.00010437863653195323,3.145928234285152,2439573,Gulf of Khambhat,Arabian Sea,Indian Ocean,Ocean or Sea,,1.0039924338848762,0.021175427848331548,1149.5301357414064,2,inland
1035,IND-DEL,Delhi,IN,India,Provincial capital,11034555,1,"5,000,000 and greater",UN_Data_2010_2020,POINT (8595719.432576789 3333287.98518901),Delhi,16349831,2011,0,2252349,Yamuna,,,Inland perennial,BD,23.72236478507667,0.030905553412081472,1.9136357800097963,2439573,Gulf of Khambhat,Arabian Sea,Indian Ocean,Ocean or Sea,,1.0039924338848762,0.021175427848331548,937.5641836945397,1,inland
